Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;10267;;
Nederland;L528;AantalGeldigeStemmen;;5497813;;
Nederland;L528;AantalOngeldigeStemmen;;11696;;
Nederland;L528;Kiesgerechtigden;;13164688;;
Nederland;L528;Opkomst;;5519776;;
Nederland;L528;Partij;P.v.d.A./Europese Sociaaldemocraten;1045274;6;
Nederland;L528;Partij;VVD;805100;4;
Nederland;L528;Partij;CDA - Europese Volkspartij;669555;4;
Nederland;L528;Partij;Forum voor Democratie;602507;3;
Nederland;L528;Partij;GROENLINKS;599283;3;
Nederland;L528;Partij;Democraten 66 (D66);389692;2;
Nederland;L528;Partij;ChristenUnie-SGP;375660;2;
Nederland;L528;Partij;Partij voor de Dieren;220938;1;
Nederland;L528;Partij;50PLUS;215199;1;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);194178;;
Nederland;L528;Partij;SP (Socialistische Partij);185224;;
Nederland;L528;Partij;Volt Nederland;106004;;
Nederland;L528;Partij;DENK;60669;;
Nederland;L528;Partij;vandeRegio & Piratenpartij;10692;;
Nederland;L528;Partij;De Groenen;9546;;
Nederland;L528;Partij;JEZUS LEEFT;8292;;
