Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
's-Gravenhage;G0518;11434;Hart voor Den Haag / Groep de Mos;62878;16;
's-Gravenhage;G0518;11434;D66;31646;8;
's-Gravenhage;G0518;11434;GROENLINKS / Partij van de Arbeid (PvdA);31311;7;
's-Gravenhage;G0518;11434;VVD;14975;3;
's-Gravenhage;G0518;11434;DENK;12988;3;
's-Gravenhage;G0518;11434;Partij voor de Dieren;9805;2;
's-Gravenhage;G0518;11434;CDA;8771;2;
's-Gravenhage;G0518;11434;SP (Socialistische Partij);4397;1;
's-Gravenhage;G0518;11434;Forum voor Democratie;4164;1;
's-Gravenhage;G0518;11434;Volt;4015;1;
's-Gravenhage;G0518;11434;ChristenUnie-SGP;3984;1;
's-Gravenhage;G0518;11434;Drerrie voor Den Haag (DvD);2907;;
's-Gravenhage;G0518;11434;PVV (Partij voor de Vrijheid);2712;;
's-Gravenhage;G0518;11434;50PLUS;2278;;
's-Gravenhage;G0518;11434;Blanco (lijst 16);1954;;
's-Gravenhage;G0518;11434;Haagse Stadspartij;1758;;
's-Gravenhage;G0518;11434;INL Den Haag;669;;
's-Gravenhage;G0518;11434;Nieuw Sociaal Contract (NSC);646;;
's-Gravenhage;G0518;11434;Partij voor de Rechtsstaat;237;;
's-Gravenhage;G0518;11434;Blanco (lijst 19);108;;
's-Hertogenbosch;G0796;10054;D66;11987;8;
's-Hertogenbosch;G0796;10054;GROENLINKS / Partij van de Arbeid;11313;8;
's-Hertogenbosch;G0796;10054;VVD;5889;4;
's-Hertogenbosch;G0796;10054;Leefbaar 's-Hertogenbosch;5814;4;
's-Hertogenbosch;G0796;10054;Rosmalens Belang;5377;3;
's-Hertogenbosch;G0796;10054;De Bossche Groenen;4734;3;
's-Hertogenbosch;G0796;10054;CDA;4642;3;
's-Hertogenbosch;G0796;10054;Forum voor Democratie;2689;1;
's-Hertogenbosch;G0796;10054;SP (Socialistische Partij);2605;1;
's-Hertogenbosch;G0796;10054;PVV (Partij voor de Vrijheid);2455;1;
's-Hertogenbosch;G0796;10054;gewoon ge-DREVEN;2144;1;
's-Hertogenbosch;G0796;10054;50PLUS;1769;1;
's-Hertogenbosch;G0796;10054;Partij voor de Dieren;1570;1;
's-Hertogenbosch;G0796;10054;VOOR Den Bosch Joep Gersjes;1155;;
's-Hertogenbosch;G0796;10054;Volt;1115;;
's-Hertogenbosch;G0796;10054;Senioren 's-Hertogenbosch;751;;
's-Hertogenbosch;G0796;10054;"RAADSGROEPERING ""BOSCH-BELANG""";651;;
's-Hertogenbosch;G0796;10054;Keerpunt Alliantie '26 (Knillis);86;;
Aa en Hunze;G1680;10787;Gemeentebelangen Aa en Hunze;5261;8;
Aa en Hunze;G1680;10787;GROENLINKS / Partij van de Arbeid (PvdA);3188;5;
Aa en Hunze;G1680;10787;VVD;3055;5;
Aa en Hunze;G1680;10787;D66;1376;2;
Aa en Hunze;G1680;10787;CDA;966;1;
Aalsmeer;G0358;11264;VVD;4312;8;
Aalsmeer;G0358;11264;CDA;2751;5;
Aalsmeer;G0358;11264;FlorAalsmeer;2041;3;
Aalsmeer;G0358;11264;Absoluut Aalsmeer;1908;3;
Aalsmeer;G0358;11264;GROENLINKS / Partij van de Arbeid;1531;2;
Aalsmeer;G0358;11264;D66;1294;2;
Aalten;G0197;11046;CDA;4323;7;
Aalten;G0197;11046;BBB-HMV;2799;4;
Aalten;G0197;11046;GemeenteBelangen;2317;4;
Aalten;G0197;11046;Progressieve Partij-GroenLinks-PvdA;2080;3;
Aalten;G0197;11046;VVD;1554;2;
Aalten;G0197;11046;ChristenUnie;776;1;
Achtkarspelen;G0059;10199;FNP;2462;5;
Achtkarspelen;G0059;10199;CDA;2410;5;
Achtkarspelen;G0059;10199;Forum voor Democratie;1542;3;
Achtkarspelen;G0059;10199;GROENLINKS / Partij van de Arbeid (PvdA);1424;3;
Achtkarspelen;G0059;10199;ChristenUnie;1356;2;
Achtkarspelen;G0059;10199;PVV (Partij voor de Vrijheid);1161;2;
Achtkarspelen;G0059;10199;GBA;908;1;
Achtkarspelen;G0059;10199;BBB;429;;
Achtkarspelen;G0059;10199;VVD;400;;
Achtkarspelen;G0059;10199;Sociaal Democraten Achtkarspelen;270;;
Alblasserdam;G0482;11327;Staatkundig Gereformeerde Partij (SGP);2663;6;
Alblasserdam;G0482;11327;VVD;1829;4;
Alblasserdam;G0482;11327;GROENLINKS / Partij van de Arbeid (PvdA);1398;3;
Alblasserdam;G0482;11327;CDA;1349;3;
Alblasserdam;G0482;11327;ChristenUnie;777;2;
Alblasserdam;G0482;11327;D66;487;1;
Albrandswaard;G0613;10124;Echt voor Albrandswaard (EVA);2408;5;
Albrandswaard;G0613;10124;Leefbaar Albrandswaard;1864;4;
Albrandswaard;G0613;10124;VVD;1841;4;
Albrandswaard;G0613;10124;GROENLINKS / Partij van de Arbeid (PvdA);1297;2;
Albrandswaard;G0613;10124;CDA;1218;2;
Albrandswaard;G0613;10124;Stem-Lokaal;1009;2;
Albrandswaard;G0613;10124;D66;885;2;
Albrandswaard;G0613;10124;NAP;383;;
Alkmaar;G0361;10527;GROENLINKS / Partij van de Arbeid (PvdA);9743;9;
Alkmaar;G0361;10527;D66;6137;5;
Alkmaar;G0361;10527;B.A.S.;5399;5;
Alkmaar;G0361;10527;VVD;4881;4;
Alkmaar;G0361;10527;Onafhankelijke Partij Alkmaar;4304;4;
