Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Alkmaar;G0361;10527;Forum voor Democratie;4080;3;
Alkmaar;G0361;10527;CDA;3112;3;
Alkmaar;G0361;10527;Leefbaar Alkmaar;2175;2;
Alkmaar;G0361;10527;Partij voor de Dieren;1781;1;
Alkmaar;G0361;10527;SeniorenPartij Alkmaar (SPA) ouderen;1744;1;
Alkmaar;G0361;10527;Status Quo;1418;1;
Alkmaar;G0361;10527;SP (Socialistische Partij);1308;1;
Alkmaar;G0361;10527;Volt;957;;
Alkmaar;G0361;10527;ChristenUnie;928;;
Almelo;G0141;11053;VVD;3539;5;
Almelo;G0141;11053;CDA;3129;5;
Almelo;G0141;11053;Lokaal Almelo Samen;3083;4;
Almelo;G0141;11053;GROENLINKS/Partij van de Arbeid (PvdA);3035;4;
Almelo;G0141;11053;Forum voor Democratie;1995;3;
Almelo;G0141;11053;PVV (Partij voor de Vrijheid);1638;2;
Almelo;G0141;11053;ChristenUnie;1530;2;
Almelo;G0141;11053;Democraten.nu Almelo;1506;2;
Almelo;G0141;11053;D66;1368;2;
Almelo;G0141;11053;Almelo Centraal;1065;1;
Almelo;G0141;11053;DENK;1052;1;
Almelo;G0141;11053;Partij Vrij Almelo (PVA);977;1;
Almelo;G0141;11053;Blanco (lijst 16);806;1;
Almelo;G0141;11053;50PLUS;655;1;
Almelo;G0141;11053;Blanco (lijst 14);636;1;
Almelo;G0141;11053;Leefbaar Almelo;556;;
Almelo;G0141;11053;SP (Socialistische Partij);538;;
Almelo;G0141;11053;Volt;257;;
Almere;G0034;10018;GROENLINKS / Partij van de Arbeid (PvdA);10853;8;
Almere;G0034;10018;VVD;7702;5;
Almere;G0034;10018;D66;6870;5;
Almere;G0034;10018;PVV (Partij voor de Vrijheid);5612;4;
Almere;G0034;10018;Forum voor Democratie;5389;4;
Almere;G0034;10018;JA21;5304;4;
Almere;G0034;10018;CDA;4521;3;
Almere;G0034;10018;50PLUS;4137;3;
Almere;G0034;10018;Leefbaar Almere;3977;3;
Almere;G0034;10018;SP (Socialistische Partij);2847;2;
Almere;G0034;10018;Partij voor de Dieren;2611;1;
Almere;G0034;10018;DENK;2327;1;
Almere;G0034;10018;Almere Partij;2017;1;
Almere;G0034;10018;ChristenUnie;2010;1;
Almere;G0034;10018;Samen voor Almere;1053;;
Almere;G0034;10018;Sterk Lokaal Almere;1025;;
Almere;G0034;10018;De Verbinding;699;;
Almere;G0034;10018;Partij Generatie Almere;262;;
Almere;G0034;10018;Blanco (lijst 16);173;;
Alphen aan den Rijn;G0484;10517;Nieuw Elan;9437;8;
Alphen aan den Rijn;G0484;10517;CDA;7965;7;
Alphen aan den Rijn;G0484;10517;GROENLINKS / Partij van de Arbeid (PvdA);6259;5;
Alphen aan den Rijn;G0484;10517;Forum voor Democratie;5394;4;
Alphen aan den Rijn;G0484;10517;VVD;4484;4;
Alphen aan den Rijn;G0484;10517;D66;4348;4;
Alphen aan den Rijn;G0484;10517;RijnGouweLokaal (RGL);3107;2;
Alphen aan den Rijn;G0484;10517;Staatkundig Gereformeerde Partij (SGP);1934;1;
Alphen aan den Rijn;G0484;10517;ChristenUnie;1931;1;
Alphen aan den Rijn;G0484;10517;ONS Alphen;1550;1;
Alphen aan den Rijn;G0484;10517;SP (Socialistische Partij);1425;1;
Alphen aan den Rijn;G0484;10517;Partij voor de Dieren;1278;1;
Alphen aan den Rijn;G0484;10517;Alphen voor Elkaar (AvE);1030;;
Alphen-Chaam;G1723;10710;Lokaal Krachtig;2204;6;
Alphen-Chaam;G1723;10710;GBSV;1041;3;
Alphen-Chaam;G1723;10710;CDA;884;3;
Alphen-Chaam;G1723;10710;VVD;631;2;
Alphen-Chaam;G1723;10710;D66;522;1;
Altena;G1959;10078;CDA;5428;6;
Altena;G1959;10078;AltenaLokaal;4479;5;
Altena;G1959;10078;Staatkundig Gereformeerde Partij (SGP);4467;5;
Altena;G1959;10078;Forum voor Democratie;4002;4;
Altena;G1959;10078;Vrije Volkspartij Altena;3255;4;
Altena;G1959;10078;Progressief Altena;2915;3;
Altena;G1959;10078;ChristenUnie;2387;2;
Altena;G1959;10078;VVD;2141;2;
Ameland;G0060;11153;AmelandEén;662;3;
Ameland;G0060;11153;CDA;592;3;
Ameland;G0060;11153;Algemeen Belang Ameland;300;2;
Ameland;G0060;11153;A82;275;1;
Ameland;G0060;11153;Partij van de Arbeid (PvdA);219;1;
Ameland;G0060;11153;VVD;150;1;
Amersfoort;G0307;10948;GROENLINKS / Partij van de Arbeid (PvdA);12850;7;
Amersfoort;G0307;10948;KeiHart voor Amersfoort;10949;6;
Amersfoort;G0307;10948;D66;8902;5;
Amersfoort;G0307;10948;VVD;8510;4;
Amersfoort;G0307;10948;CDA;7778;4;
Amersfoort;G0307;10948;Amersfoort voor Vrijheid;6659;3;
Amersfoort;G0307;10948;Amersfoort2014;5027;2;
Amersfoort;G0307;10948;ChristenUnie;4592;2;
Amersfoort;G0307;10948;Burger Partij Amersfoort (BPA);3184;1;
Amersfoort;G0307;10948;Beter Amersfoort;3099;1;
Amersfoort;G0307;10948;Partij voor de Dieren;2949;1;
Amersfoort;G0307;10948;Forum voor Democratie;2769;1;
Amersfoort;G0307;10948;DENK;2524;1;
Amersfoort;G0307;10948;SP (Socialistische Partij);1799;1;
Amersfoort;G0307;10948;Volt;1635;;
Amersfoort;G0307;10948;ECHT Amersfoort;854;;
Amersfoort;G0307;10948;Nieuw Sociaal Contract (NSC);268;;
Amersfoort;G0307;10948;BBB;258;;
Amstelveen;G0362;10799;GROENLINKS / Partij van de Arbeid (PvdA);8120;9;
Amstelveen;G0362;10799;VVD;7436;9;
Amstelveen;G0362;10799;D66;6557;7;
Amstelveen;G0362;10799;Actief voor Amstelveen;3894;4;
Amstelveen;G0362;10799;Forum voor Democratie;2246;2;
Amstelveen;G0362;10799;Burgerbelangen Amstelveen;1998;2;
Amstelveen;G0362;10799;50PLUS;1617;1;
Amstelveen;G0362;10799;CDA;1407;1;
Amstelveen;G0362;10799;Socialistische Partij (SP);1285;1;
Amstelveen;G0362;10799;Goed voor Amstelveen;1104;1;
Amstelveen;G0362;10799;ChristenUnie;620;;
Amsterdam;G0363;11150;GROENLINKS;61706;10;
Amsterdam;G0363;11150;D66;55377;8;
Amsterdam;G0363;11150;Partij van de Arbeid (PvdA);48423;7;
Amsterdam;G0363;11150;VVD;37406;6;
Amsterdam;G0363;11150;Partij voor de Dieren;20391;3;
Amsterdam;G0363;11150;Volt;17478;2;
Amsterdam;G0363;11150;JA21;16907;2;
Amsterdam;G0363;11150;DENK;16372;2;
Amsterdam;G0363;11150;BIJ1;12931;2;
Amsterdam;G0363;11150;CDA;10927;1;
Amsterdam;G0363;11150;Forum voor Democratie;10476;1;
Amsterdam;G0363;11150;SP (Socialistische Partij);10248;1;
Amsterdam;G0363;11150;De Vonk;5532;;
Amsterdam;G0363;11150;ChristenUnie;4506;;
Amsterdam;G0363;11150;De Stem Van Amsterdam;3979;;
Amsterdam;G0363;11150;50PLUS;2365;;
Amsterdam;G0363;11150;Hart voor Amsterdam/Partij van de Ouderen;2166;;
Amsterdam;G0363;11150;Piratenpartij;1495;;
Amsterdam;G0363;11150;Namens Amsterdammers.;1091;;
Amsterdam;G0363;11150;BBB;576;;
Amsterdam;G0363;11150;Amsterdamse Alternatieve Alliantie;423;;
Amsterdam;G0363;11150;LEF - Voor de Nieuwe Generatie;411;;
Amsterdam;G0363;11150;Partij voor Morgen;410;;
Amsterdam;G0363;11150;LP (Libertaire Partij);393;;
Amsterdam;G0363;11150;LCA (Liberaal Collectief Amsterdam);381;;
Amsterdam;G0363;11150;Het Elan;330;;
Amsterdam;G0363;11150;NL PLAN;236;;
Amsterdam;G0363;11150;ELLECT;215;;
Amsterdam;G0363;11150;Partij voor de Rechtsstaat;197;;
Amsterdam;G0363;11150;Partij voor Betaalbaar Leven (PvBL);192;;
Amsterdam;G0363;11150;1 WERELD 1 TOEKOMST (1W1T);168;;
Amsterdam;G0363;11150;Partij voor Ontwikkeling;165;;
Amsterdam;G0363;11150;De Republikeinse Politieke Partij;119;;
Amsterdam;G0363;11150;De Nieuwe Politiek;93;;
Amsterdam;G0363;11150;Anti-racistische Moslimpartij;92;;
Apeldoorn;G0200;11075;Lokaal Apeldoorn;11573;7;
Apeldoorn;G0200;11075;GROENLINKS / Partij van de Arbeid (PvdA);10386;6;
Apeldoorn;G0200;11075;VVD;7870;5;
Apeldoorn;G0200;11075;CDA;7597;4;
Apeldoorn;G0200;11075;D66;6079;3;
Apeldoorn;G0200;11075;Forum voor Democratie;5885;3;
Apeldoorn;G0200;11075;Staatkundig Gereformeerde Partij (SGP);4083;2;
Apeldoorn;G0200;11075;WijApeldoorn;3707;2;
Apeldoorn;G0200;11075;ChristenUnie;3678;2;
Apeldoorn;G0200;11075;BVA (Beter voor Apeldoorn);3285;2;
Apeldoorn;G0200;11075;50PLUS;2406;1;
Apeldoorn;G0200;11075;Partij voor de Dieren;2235;1;
Apeldoorn;G0200;11075;SP (Socialistische Partij);1862;1;
Apeldoorn;G0200;11075;BBB;1355;;
Apeldoorn;G0200;11075;Nieuw Sociaal Contract (NSC);156;;
Arnhem;G0202;10795;GROENLINKS / Partij van de Arbeid (PvdA);15653;10;
Arnhem;G0202;10795;VVD;8148;5;
Arnhem;G0202;10795;D66;6840;4;
Arnhem;G0202;10795;Arnhem Centraal;6528;4;
Arnhem;G0202;10795;Forum voor Democratie;4772;3;
Arnhem;G0202;10795;BurgerBelang Arnhem;4526;3;
Arnhem;G0202;10795;Partij voor de Dieren;4234;2;
Arnhem;G0202;10795;CDA;3875;2;
Arnhem;G0202;10795;SP (Socialistische Partij);3467;2;
Arnhem;G0202;10795;DENK;3134;2;
Arnhem;G0202;10795;Volt;2254;1;
Arnhem;G0202;10795;ChristenUnie;1642;1;
Arnhem;G0202;10795;Nederlandse Volks-Unie (NVU);416;;
Arnhem;G0202;10795;LEF - Voor de Nieuwe Generatie;357;;
Arnhem;G0202;10795;Piratenpartij;327;;
Assen;G0106;10522;ASSEN CENTRAAL;5895;7;
Assen;G0106;10522;GROENLINKS / Partij van de Arbeid (PvdA);5438;7;
Assen;G0106;10522;ChristenUnie;3273;4;
Assen;G0106;10522;D66;2854;3;
Assen;G0106;10522;VVD;2641;3;
Assen;G0106;10522;Stadspartij PLOP;2211;2;
Assen;G0106;10522;PVV (Partij voor de Vrijheid);2001;2;
Assen;G0106;10522;CDA;1988;2;
Assen;G0106;10522;Forum voor Democratie;1833;2;
Assen;G0106;10522;SP (Socialistische Partij);1461;1;
Assen;G0106;10522;Leefbaar Assen;1226;1;
Assen;G0106;10522;50PLUS;1112;1;
Assen;G0106;10522;Belang Van Nederland (BVNL);140;;
Asten;G0743;10478;CDA;2844;6;
Asten;G0743;10478;Algemeen Belang;1694;4;
Asten;G0743;10478;Samen voor Asten;1645;4;
Asten;G0743;10478;PGA;1050;2;
Asten;G0743;10478;VVD;692;1;
Baarle-Nassau;G0744;10060;Fractie Ulicoten;1162;5;
Baarle-Nassau;G0744;10060;CDA;761;3;
Baarle-Nassau;G0744;10060;VPB;675;3;
Baarle-Nassau;G0744;10060;BAARLE!;604;2;
Baarn;G0308;11411;VVD;2828;5;
Baarn;G0308;11411;VoorBaarn;1925;4;
Baarn;G0308;11411;GROENLINKS;1877;3;
Baarn;G0308;11411;D66;1726;3;
Baarn;G0308;11411;50PLUS;1321;2;
Baarn;G0308;11411;CDA;1314;2;
Baarn;G0308;11411;Partij van de Arbeid (PvdA);1047;2;
Baarn;G0308;11411;ChristenUnie;476;;
Barendrecht;G0489;10943;EVB (Echt voor Barendrecht);9297;14;
Barendrecht;G0489;10943;Barendrechts Belang;2545;3;
Barendrecht;G0489;10943;GROENLINKS / Partij van de Arbeid (PvdA);2167;3;
Barendrecht;G0489;10943;SGP-ChristenUnie;2154;3;
Barendrecht;G0489;10943;CDA;1931;2;
Barendrecht;G0489;10943;VVD;1762;2;
Barendrecht;G0489;10943;D66;1247;1;
Barendrecht;G0489;10943;Blanco (lijst 8);977;1;
Barneveld;G0203;10906;Staatkundig Gereformeerde Partij (SGP);9987;11;
Barneveld;G0203;10906;Lokaal Belang;5952;6;
Barneveld;G0203;10906;CDA;4813;5;
Barneveld;G0203;10906;ChristenUnie;3423;3;
Barneveld;G0203;10906;Pro'98 (Pro Barneveld, PvdA, D66);3049;3;
Barneveld;G0203;10906;VVD;2808;3;
Barneveld;G0203;10906;BBB;2323;2;
Beek;G0888;11374;CDA;2413;6;
Beek;G0888;11374;Progressief Beek;1554;4;
Beek;G0888;11374;Beek Lokaal;1371;3;
Beek;G0888;11374;Belang van Beek;1276;3;
Beek;G0888;11374;VVD;545;1;
Beekdaelen;G1954;10104;Vernieuwingsgroep;4850;8;
Beekdaelen;G1954;10104;CDA;2788;4;
Beekdaelen;G1954;10104;VVD;2508;4;
Beekdaelen;G1954;10104;Beekdaelen Lokaal;2351;4;
Beekdaelen;G1954;10104;GROENLINKS / Partij van de Arbeid (PvdA);1885;3;
Beekdaelen;G1954;10104;BBB;822;1;
Beekdaelen;G1954;10104;D66;631;1;
Beesel;G0889;10195;Samen Verder Beesel;1838;5;
Beesel;G0889;10195;CDA;1656;5;
Beesel;G0889;10195;V.L.P.;1124;3;
Beesel;G0889;10195;Beeselse Lijst;695;2;
Berg en Dal;G1945;10616;LOKAAL!;4479;7;
Berg en Dal;G1945;10616;GROENLINKS / Partij van de Arbeid (PvdA);3646;6;
Berg en Dal;G1945;10616;Kernachtig Groesbeek;3517;5;
Berg en Dal;G1945;10616;CDA;2189;3;
Berg en Dal;G1945;10616;D66;1824;2;
Berg en Dal;G1945;10616;VVD;1347;2;
Bergeijk;G1724;11160;CDA;3846;7;
Bergeijk;G1724;11160;Lokale Partij Bergeijk;3034;5;
Bergeijk;G1724;11160;GROENLINKS / Partij van de Arbeid (PvdA);1463;3;
Bergeijk;G1724;11160;VVD;1123;2;
Bergen;G0373;11424;ONS DORP;5012;7;
Bergen;G0373;11424;KIES Lokaal;3013;4;
Bergen;G0373;11424;GROENLINKS / Partij van de Arbeid (PvdA);2969;4;
Bergen;G0373;11424;D66;1934;2;
Bergen;G0373;11424;VVD;1550;2;
Bergen;G0373;11424;CDA;1530;2;
Bergen;G0893;11281;KERN;1829;5;
Bergen;G0893;11281;CDA;1283;4;
Bergen;G0893;11281;Progressieve Kombinatie Bergen (L);904;2;
Bergen;G0893;11281;Dorpsbelangen Bergen (Limburg);749;2;
Bergen;G0893;11281;VVD;629;2;
Bergen op Zoom;G0748;11037;GBWP;5314;8;
Bergen op Zoom;G0748;11037;VVD;3848;5;
Bergen op Zoom;G0748;11037;GROENLINKS / Partij van de Arbeid (PvdA);3710;5;
Bergen op Zoom;G0748;11037;D66;2239;3;
Bergen op Zoom;G0748;11037;PVV (Partij voor de Vrijheid);2239;3;
Bergen op Zoom;G0748;11037;CDA;2085;3;
Bergen op Zoom;G0748;11037;Lokaal Realisme;1886;2;
Bergen op Zoom;G0748;11037;Belang van Bergen op Zoom (BVB);1860;2;
Bergen op Zoom;G0748;11037;Bergs Collectief;1702;2;
Bergen op Zoom;G0748;11037;SAMEN0164;1093;1;
Bergen op Zoom;G0748;11037;Bergse Sociaal Democraten;885;1;
Bergen op Zoom;G0748;11037;SP (Socialistische Partij);609;;
Bergen op Zoom;G0748;11037;Lijst Linssen;269;;
Berkelland;G1859;10436;CDA;6207;8;
Berkelland;G1859;10436;SVB (Samen Voor Berkelland);4611;5;
Berkelland;G1859;10436;GROENLINKS /Partij van de Arbeid (PvdA);3809;4;
Berkelland;G1859;10436;Samen D'ran;3666;4;
Berkelland;G1859;10436;VVD;2587;3;
Berkelland;G1859;10436;BBB;2532;3;
Bernheze;G1721;10149;CDA;5027;9;
Bernheze;G1721;10149;Lokaal;3250;6;
Bernheze;G1721;10149;Progressief Bernheze;2110;3;
Bernheze;G1721;10149;Centrumrechts Bernheze;1944;3;
Bernheze;G1721;10149;SP (Socialistische Partij);1078;1;
Bernheze;G1721;10149;ONS Bernheze;678;1;
Best;G0753;10442;Best-Anders voor en door Bestenaren;4056;8;
Best;G0753;10442;VVD;1950;4;
Best;G0753;10442;D66;1898;3;
Best;G0753;10442;GROENLINKS / Partij van de Arbeid (PvdA);1496;3;
Best;G0753;10442;CDA;1365;2;
Best;G0753;10442;Best Open;1196;2;
Best;G0753;10442;Jongerenpartij JO;908;1;
Best;G0753;10442;ChristenUnie;418;;
Beuningen;G0209;10417;Beuningen Nu & Morgen;3223;7;
Beuningen;G0209;10417;VVD;2727;5;
Beuningen;G0209;10417;CDA;1855;4;
Beuningen;G0209;10417;GROENLINKS/Partij van de Arbeid (PvdA);1535;3;
Beuningen;G0209;10417;D66;898;1;
Beuningen;G0209;10417;VIER Beuningen;887;1;
Beuningen;G0209;10417;SP (Socialistische Partij);441;;
Beverwijk;G0375;10272;Samen Lokaal Beverwijk (SLB);3705;7;
Beverwijk;G0375;10272;VRIJ !;2667;5;
Beverwijk;G0375;10272;GROENLINKS / Partij van de Arbeid (PvdA);1936;3;
Beverwijk;G0375;10272;Forum voor Democratie;1864;3;
Beverwijk;G0375;10272;VVD;1747;3;
Beverwijk;G0375;10272;D66;1737;3;
Beverwijk;G0375;10272;CDA;901;1;
Beverwijk;G0375;10272;DENK;687;1;
Beverwijk;G0375;10272;Ons Beverwijk;519;1;
Beverwijk;G0375;10272;Belang Van Nederland (BVNL);355;;
Beverwijk;G0375;10272;GROENSTAAL!;281;;
Bladel;G1728;11006;Bladel Transparant;2756;6;
Bladel;G1728;11006;CDA;2626;6;
Bladel;G1728;11006;VHP (Vrije Hapertse Partij);1298;3;
Bladel;G1728;11006;PRO5;1283;2;
Bladel;G1728;11006;VVD;902;2;
Bladel;G1728;11006;D66;355;;
Blaricum;G0376;10493;Hart voor Blaricum;1175;3;
Blaricum;G0376;10493;VVD;1130;3;
Blaricum;G0376;10493;De Blaricumse Partij;826;3;
Blaricum;G0376;10493;D66;781;2;
Blaricum;G0376;10493;Het Geluid van Blaricum;780;2;
Blaricum;G0376;10493;CDA;434;1;
Blaricum;G0376;10493;GroenLinks/PvdA;390;1;
Bloemendaal;G0377;10850;VVD;2612;4;
Bloemendaal;G0377;10850;D66;2601;4;
Bloemendaal;G0377;10850;GROENLINKS - Partij van de Arbeid (PvdA);2447;4;
Bloemendaal;G0377;10850;Hart voor Bloemendaal;2097;3;
Bloemendaal;G0377;10850;CDA;1067;2;
Bloemendaal;G0377;10850;Zelfstandig Bloemendaal;849;1;
Bloemendaal;G0377;10850;Liberaal Bloemendaal;580;1;
Bloemendaal;G0377;10850;SP (Socialistische Partij);403;;
Bodegraven-Reeuwijk;G1901;11091;CDA;3449;5;
Bodegraven-Reeuwijk;G1901;11091;Lokaal Liberaal Bodegraven-Reeuwijk;3068;5;
Bodegraven-Reeuwijk;G1901;11091;VVD;2975;5;
Bodegraven-Reeuwijk;G1901;11091;Staatkundig Gereformeerde Partij (SGP);2263;3;
Bodegraven-Reeuwijk;G1901;11091;GROENLINKS / Partij van de Arbeid (PvdA);1688;2;
Bodegraven-Reeuwijk;G1901;11091;Burgerbelangen Bodegraven Reeuwijk;1520;2;
Bodegraven-Reeuwijk;G1901;11091;D66;1390;2;
Bodegraven-Reeuwijk;G1901;11091;ChristenUnie;1123;1;
Boekel;G0755;10432;CDA;2177;6;
Boekel;G0755;10432;DOP;1599;4;
Boekel;G0755;10432;Gemeenschapsbelang Venhorst-Boekel;1334;4;
Boekel;G0755;10432;VVD;523;1;
Borger-Odoorn;G1681;10448;Gemeentebelangen Borger-Odoorn;3398;6;
Borger-Odoorn;G1681;10448;GROENLINKS / Partij van de Arbeid (PvdA);2097;4;
Borger-Odoorn;G1681;10448;CDA;1708;3;
Borger-Odoorn;G1681;10448;VVD;1566;3;
Borger-Odoorn;G1681;10448;PVV (Partij voor de Vrijheid);1464;3;
Borger-Odoorn;G1681;10448;Leefbaar Borger-Odoorn;767;1;
Borger-Odoorn;G1681;10448;Lokale Kracht;738;1;
Borne;G0147;10326;BorneNu;2424;5;
Borne;G0147;10326;GB'90;2273;4;
Borne;G0147;10326;CDA;2026;4;
Borne;G0147;10326;VVD;1850;3;
Borne;G0147;10326;GROENLINKS / Partij van de Arbeid (PvdA);1360;2;
Borne;G0147;10326;D66;801;1;
Borne;G0147;10326;SP (Socialistische Partij);278;;
Borsele;G0654;10043;Lokale Partij Borsele;3648;7;
Borsele;G0654;10043;SGP-ChristenUnie;2807;5;
Borsele;G0654;10043;CDA;2228;4;
Borsele;G0654;10043;Partij van de Arbeid (PvdA) / GROENLINKS;1224;2;
Borsele;G0654;10043;VVD;572;1;
Borsele;G0654;10043;D66;471;;
Borsele;G0654;10043;SP (Socialistische Partij);246;;
Boxtel;G0757;10083;Combinatie95;3392;5;
Boxtel;G0757;10083;BALANS;3237;5;
Boxtel;G0757;10083;D66;1986;3;
Boxtel;G0757;10083;VVD;1958;3;
Boxtel;G0757;10083;PvdA-GROENLINKS;1957;3;
Boxtel;G0757;10083;CDA;1292;2;
Boxtel;G0757;10083;Forum voor Democratie;1206;2;
Breda;G0758;10154;VVD;16183;9;
Breda;G0758;10154;GROENLINKS / Partij van de Arbeid (PvdA);13997;8;
Breda;G0758;10154;D66;11230;6;
Breda;G0758;10154;CDA;10345;6;
Breda;G0758;10154;Breda Beslist;9636;5;
Breda;G0758;10154;Forum voor Democratie;4833;2;
Breda;G0758;10154;Partij voor de Dieren;2753;1;
Breda;G0758;10154;SP (Socialistische Partij);2731;1;
Breda;G0758;10154;Lijst Pim Fortuyn Breda (LPF);2387;1;
Breda;G0758;10154;50PLUS;1491;;
Breda;G0758;10154;Volt;1297;;
Breda;G0758;10154;Gemeente Toezicht;127;;
Bronckhorst;G1876;11159;Gemeentebelangen Bronckhorst (GBB);6680;10;
Bronckhorst;G1876;11159;CDA;3321;4;
Bronckhorst;G1876;11159;GROENLINKS / Partij van de Arbeid (PvdA);2527;3;
Bronckhorst;G1876;11159;VVD;2376;3;
Bronckhorst;G1876;11159;Lokaal Bronckhorst;1363;2;
Bronckhorst;G1876;11159;D66;1331;2;
Bronckhorst;G1876;11159;Belang Van Nederland (BVNL);1248;1;
Bronckhorst;G1876;11159;ChristenUnie-SGP;489;;
Brummen;G0213;10798;VVD;3221;7;
