Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Altena;G1959;10078;CDA;5759;8;
Altena;G1959;10078;AltenaLokaal;4246;6;
Altena;G1959;10078;Staatkundig Gereformeerde Partij (SGP);3709;5;
Altena;G1959;10078;ChristenUnie;3055;4;
Altena;G1959;10078;Progressief Altena;2815;4;
Altena;G1959;10078;VVD;1955;3;
Altena;G1959;10078;BURGERSTEM Altena;691;1;
Altena;G1959;10078;JEZUS LEEFT;159;;
Beekdaelen;G1954;10104;CDA;4194;7;
Beekdaelen;G1954;10104;Vernieuwingsgroep;3274;6;
Beekdaelen;G1954;10104;Beekdaelen Lokaal;2963;5;
Beekdaelen;G1954;10104;VVD;1677;3;
Beekdaelen;G1954;10104;GROENLINKS;1524;2;
Beekdaelen;G1954;10104;Partij van de Arbeid (P.v.d.A.);774;1;
Beekdaelen;G1954;10104;Democraten 66 (D66);756;1;
Beekdaelen;G1954;10104;VitaalBeekdaelen;396;;
Groningen;G0014;10426;GROENLINKS;17474;11;
Groningen;G0014;10426;Partij van de Arbeid (P.v.d.A.);10841;6;
Groningen;G0014;10426;Democraten 66 (D66);8900;5;
Groningen;G0014;10426;SP (Socialistische Partij);7893;5;
Groningen;G0014;10426;VVD;7402;4;
Groningen;G0014;10426;ChristenUnie;5577;3;
Groningen;G0014;10426;Partij voor de Dieren;5475;3;
Groningen;G0014;10426;CDA;4531;2;
Groningen;G0014;10426;100% Groningen;4433;2;
Groningen;G0014;10426;Stadspartij voor Stad en Ommeland;4257;2;
Groningen;G0014;10426;Student en Stad;2807;1;
Groningen;G0014;10426;PVV (Partij voor de Vrijheid);2723;1;
Groningen;G0014;10426;Sportpartij;1030;;
Haarlemmermeer;G0394;11387;VVD;7376;7;
Haarlemmermeer;G0394;11387;Haarlemmermeerse Actieve Politiek (HAP);7117;7;
Haarlemmermeer;G0394;11387;CDA;4962;5;
Haarlemmermeer;G0394;11387;Forza! Haarlemmermeer;4676;5;
Haarlemmermeer;G0394;11387;GROENLINKS;3969;4;
Haarlemmermeer;G0394;11387;Democraten 66 (D66);3616;3;
Haarlemmermeer;G0394;11387;Partij van de Arbeid (P.v.d.A.);3058;3;
Haarlemmermeer;G0394;11387;ChristenUnie-SGP;1992;2;
Haarlemmermeer;G0394;11387;EEN Haarlemmermeer;1525;1;
Haarlemmermeer;G0394;11387;Sociaal Rechts Haarlemmermeer (SRH);1155;1;
Haarlemmermeer;G0394;11387;GEZOND Haarlemmermeer;971;1;
Haarlemmermeer;G0394;11387;CDVP;802;;
Het Hogeland;G1966;10246;GemeenteBelangen Het Hogeland;4694;8;
Het Hogeland;G1966;10246;CDA;3675;6;
Het Hogeland;G1966;10246;ChristenUnie;2925;4;
