Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Het Hogeland;G1966;10246;Partij van de Arbeid (P.v.d.A.);2856;4;
Het Hogeland;G1966;10246;GROENLINKS;1799;3;
Het Hogeland;G1966;10246;SP (Socialistische Partij);1556;2;
Het Hogeland;G1966;10246;VVD;1284;2;
Het Hogeland;G1966;10246;Democraten 66 (D66);559;;
Het Hogeland;G1966;10246;Hogeland Lokaal Centraal;505;;
Hoeksche Waard;G1963;10222;CDA;5954;8;
Hoeksche Waard;G1963;10222;Lokalen Hoeksche Waard;4859;6;
Hoeksche Waard;G1963;10222;Staatkundig Gereformeerde Partij (SGP);4416;6;
Hoeksche Waard;G1963;10222;VVD;3611;4;
Hoeksche Waard;G1963;10222;Democraten 66 (D66);2665;3;
Hoeksche Waard;G1963;10222;GROENLINKS;2392;3;
Hoeksche Waard;G1963;10222;ChristenUnie;1959;2;
Hoeksche Waard;G1963;10222;Hoeksche Waardse Senioren Partij - HWSP;1927;2;
Hoeksche Waard;G1963;10222;Partij van de Arbeid (P.v.d.A.);1793;2;
Hoeksche Waard;G1963;10222;Cromstrijen'98 HW;1090;1;
Hoeksche Waard;G1963;10222;Hart Voor Alle Kernen;658;;
Hoeksche Waard;G1963;10222;Progressief Hoeksche Waard;412;;
Hoeksche Waard;G1963;10222;ONAFHANKELIJK HOEKSCHE WAARD;164;;
Molenlanden;G1978;10451;Doe mee! Molenlanden;4494;7;
Molenlanden;G1978;10451;CDA;4042;6;
Molenlanden;G1978;10451;Staatkundig Gereformeerde Partij (SGP);3818;5;
Molenlanden;G1978;10451;ChristenUnie;3783;5;
Molenlanden;G1978;10451;VVD;2323;3;
Molenlanden;G1978;10451;Progressief Molenlanden;688;1;
Molenlanden;G1978;10451;JEZUS LEEFT;229;;
Noardeast-Fryslân;G1970;10198;CDA;3763;7;
Noardeast-Fryslân;G1970;10198;FNP;2633;5;
Noardeast-Fryslân;G1970;10198;S!N - Sociaal in Noardeast-Fryslân;2188;4;
Noardeast-Fryslân;G1970;10198;ChristenUnie;2062;4;
Noardeast-Fryslân;G1970;10198;VVD;1931;3;
Noardeast-Fryslân;G1970;10198;Partij van de Arbeid (P.v.d.A.);1570;3;
Noardeast-Fryslân;G1970;10198;Gemeentebelangen Noardeast-Fryslân;1068;2;
Noardeast-Fryslân;G1970;10198;ELP-NEF;947;1;
Noardeast-Fryslân;G1970;10198;Waddenpartij;257;;
Noordwijk;G0575;10769;NZLokaal;3457;5;
Noordwijk;G0575;10769;VVD;3178;5;
Noordwijk;G0575;10769;CDA;3114;5;
Noordwijk;G0575;10769;PUUR;3081;4;
Noordwijk;G0575;10769;Lijst Salman Noordwijk;2860;4;
Noordwijk;G0575;10769;GROENLINKS;1358;2;
Noordwijk;G0575;10769;Democraten 66 (D66);955;1;
Noordwijk;G0575;10769;Partij van de Arbeid (P.v.d.A.);697;1;
Vijfheerenlanden;G1961;10685;CDA;4045;7;
Vijfheerenlanden;G1961;10685;Staatkundig Gereformeerde Partij (SGP);3426;5;
Vijfheerenlanden;G1961;10685;VHL Lokaal;3049;5;
Vijfheerenlanden;G1961;10685;ChristenUnie;2345;4;
Vijfheerenlanden;G1961;10685;VVD;2266;3;
Vijfheerenlanden;G1961;10685;Democraten 66 (D66);2239;3;
Vijfheerenlanden;G1961;10685;Partij van de Arbeid (P.v.d.A.);1742;3;
Vijfheerenlanden;G1961;10685;GROENLINKS;884;1;
West Betuwe;G1960;10881;Dorpsbelangen;3279;5;
West Betuwe;G1960;10881;Staatkundig Gereformeerde Partij (SGP);3059;5;
West Betuwe;G1960;10881;CDA;2480;4;
West Betuwe;G1960;10881;VVD;2338;3;
West Betuwe;G1960;10881;ChristenUnie;1862;3;
West Betuwe;G1960;10881;Leefbaar Lokaal Belang West Betuwe;1859;3;
West Betuwe;G1960;10881;Verenigd West Betuwe;1648;2;
West Betuwe;G1960;10881;Partij van de Arbeid (P.v.d.A.);1423;2;
West Betuwe;G1960;10881;Democraten 66 (D66);1385;2;
West Betuwe;G1960;10881;GROENLINKS;1363;2;
Westerkwartier;G1969;10604;Partij voor Veiligheid en Zorg (VZ Westerkwartier);4259;6;
Westerkwartier;G1969;10604;ChristenUnie;4081;6;
Westerkwartier;G1969;10604;CDA;3893;5;
Westerkwartier;G1969;10604;GROENLINKS;3447;5;
Westerkwartier;G1969;10604;Partij van de Arbeid (P.v.d.A.);2882;4;
Westerkwartier;G1969;10604;VVD;2347;3;
Westerkwartier;G1969;10604;Sterk Westerkwartier;1510;2;
Westerkwartier;G1969;10604;Democraten 66 (D66);1252;1;
Westerkwartier;G1969;10604;50PLUS;821;1;
