Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;6320012;;
Nederland;L528;AantalOngeldigeStemmen;;46567;;
Nederland;L528;Kiesgerechtigden;;8046969;;
Nederland;L528;Opkomst;;6366579;;
Nederland;L528;Partij;PvdA;1554733;39;
Nederland;L528;Partij;KVP;1380365;35;
Nederland;L528;Partij;VVD;653606;16;
Nederland;L528;Partij;ARP;542874;13;
Nederland;L528;Partij;D66;428150;11;
Nederland;L528;Partij;CHU;399164;10;
Nederland;L528;Partij;DS70;336788;8;
Nederland;L528;Partij;CPN;246594;6;
Nederland;L528;Partij;SGP;148221;3;
Nederland;L528;Partij;PPR;116065;2;
Nederland;L528;Partij;GPV;101797;2;
Nederland;L528;Partij;Nederlandse Middenstands Partij;95653;2;
Nederland;L528;Partij;PSP;90752;2;
Nederland;L528;Partij;Boeren Partij;69678;1;
Nederland;L528;Partij;Algemene Bejaarden Partij Nederland;26881;;
Nederland;L528;Partij;Nederlands Appel;24379;;
Nederland;L528;Partij;Nieuwe Roomse Partij;23061;;
Nederland;L528;Partij;Kabouters;21988;;
Nederland;L528;Partij;Bejaarden en Arbeidspartij;21489;;
Nederland;L528;Partij;Binding Rechts;15137;;
Nederland;L528;Partij;Democraten 2000;7189;;
Nederland;L528;Partij;Bejaardenpartij 65+;5784;;
Nederland;L528;Partij;Lijst van Velzen;3676;;
Nederland;L528;Partij;Bejaarden Partij Algemeen Belang;1843;;
Nederland;L528;Partij;Stichting Gedupeerde Groepen 18+ t/m 65;1648;;
Nederland;L528;Partij;Landelijke Partij van Bejaarden;1620;;
Nederland;L528;Partij;Partij van het Recht;477;;
Nederland;L528;Partij;Positief Sociaal Democraten;400;;
