Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;4760711;;
Nederland;L528;AantalOngeldigeStemmen;;0;;
Nederland;L528;Kiesgerechtigden;;0;;
Nederland;L528;Opkomst;;4760711;;
Nederland;L528;Partij;KVP;1466145;32;
Nederland;L528;Partij;PvdA;1347940;29;
Nederland;L528;Partij;ARP;614201;13;
Nederland;L528;Partij;CPN;502963;10;
Nederland;L528;Partij;CHU;373217;8;
Nederland;L528;Partij;Partij van de Vrijheid;305285;6;
Nederland;L528;Partij;SGP;101761;2;
