Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;4931499;;
Nederland;L528;AantalOngeldigeStemmen;;0;;
Nederland;L528;Kiesgerechtigden;;5413204;;
Nederland;L528;Opkomst;;4931499;;
Nederland;L528;Partij;KVP;1531154;32;
Nederland;L528;Partij;PvdA;1263058;27;
Nederland;L528;Partij;ARP;651610;13;
Nederland;L528;Partij;CHU;452926;9;
Nederland;L528;Partij;VVD;391908;8;
Nederland;L528;Partij;CPN;381997;8;
Nederland;L528;Partij;SGP;116934;2;
Nederland;L528;Partij;Lijst Welter;62376;1;
Nederland;L528;Partij;Middenstandspartij;40949;;
Nederland;L528;Partij;Onafh. Nationale Group;22175;;
Nederland;L528;Partij;oud-SDAP;15332;;
Nederland;L528;Partij;Revolutionaire CP;2224;;
