Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;19655;;
Nederland;L528;AantalGeldigeStemmen;;10432726;;
Nederland;L528;AantalOngeldigeStemmen;;22822;;
Nederland;L528;Kiesgerechtigden;;13473750;;
Nederland;L528;Opkomst;;10475203;;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);2450878;37;
Nederland;L528;Partij;GROENLINKS / Partij van de Arbeid (PvdA);1643073;25;
Nederland;L528;Partij;VVD;1589519;24;
Nederland;L528;Partij;Nieuw Sociaal Contract;1343287;20;
Nederland;L528;Partij;D66;656292;9;
Nederland;L528;Partij;BBB;485551;7;
Nederland;L528;Partij;CDA;345822;5;
Nederland;L528;Partij;SP (Socialistische Partij);328225;5;
Nederland;L528;Partij;DENK;246765;3;
Nederland;L528;Partij;Partij voor de Dieren;235148;3;
Nederland;L528;Partij;Forum voor Democratie;232963;3;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);217270;3;
Nederland;L528;Partij;ChristenUnie;212532;3;
Nederland;L528;Partij;Volt;178802;2;
Nederland;L528;Partij;JA21;71345;1;
Nederland;L528;Partij;BVNL / Groep Van Haga;52913;;
Nederland;L528;Partij;50PLUS;51043;;
Nederland;L528;Partij;BIJ1;44253;;
Nederland;L528;Partij;Splinter;12838;;
Nederland;L528;Partij;Piratenpartij - De Groenen;9117;;
Nederland;L528;Partij;Nederland met een PLAN;5487;;
Nederland;L528;Partij;Samen voor Nederland;5325;;
Nederland;L528;Partij;LEF - Voor de Nieuwe Generatie;5122;;
Nederland;L528;Partij;LP (Libertaire Partij);4152;;
Nederland;L528;Partij;PartijvdSport;3966;;
Nederland;L528;Partij;Politieke Partij voor Basisinkomen;1038;;
