Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;17173;;
Nederland;L528;AantalGeldigeStemmen;;10422852;;
Nederland;L528;AantalOngeldigeStemmen;;22652;;
Nederland;L528;Kiesgerechtigden;;13293186;;
Nederland;L528;Opkomst;;10462677;;
Nederland;L528;Partij;VVD;2279130;34;
Nederland;L528;Partij;D66;1565861;24;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);1124482;17;
Nederland;L528;Partij;CDA;990601;15;
Nederland;L528;Partij;SP (Socialistische Partij);623371;9;
Nederland;L528;Partij;Partij van de Arbeid (P.v.d.A.);597192;9;
Nederland;L528;Partij;GROENLINKS;537308;8;
Nederland;L528;Partij;Forum voor Democratie;523083;8;
Nederland;L528;Partij;Partij voor de Dieren;399750;6;
Nederland;L528;Partij;ChristenUnie;351275;5;
Nederland;L528;Partij;Volt;252480;3;
Nederland;L528;Partij;JA21;246620;3;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);215249;3;
Nederland;L528;Partij;DENK;211237;3;
Nederland;L528;Partij;50PLUS;106702;1;
Nederland;L528;Partij;BBB;104319;1;
Nederland;L528;Partij;BIJ1;87238;1;
Nederland;L528;Partij;CODE ORANJE;40731;;
Nederland;L528;Partij;NIDA;33834;;
Nederland;L528;Partij;Splinter;30328;;
Nederland;L528;Partij;Piratenpartij;22816;;
Nederland;L528;Partij;JONG;15297;;
Nederland;L528;Partij;Trots op Nederland (TROTS);13198;;
Nederland;L528;Partij;Lijst Henk Krol;9264;;
Nederland;L528;Partij;NLBeter;8657;;
Nederland;L528;Partij;Blanco (Zeven, A.J.L.B.);8277;;
Nederland;L528;Partij;LP (Libertaire Partij);5546;;
Nederland;L528;Partij;OPRECHT;5449;;
Nederland;L528;Partij;JEZUS LEEFT;5015;;
Nederland;L528;Partij;DE FEESTPARTIJ (DFP);3744;;
Nederland;L528;Partij;U-Buntu Connected Front;1880;;
Nederland;L528;Partij;Vrij en Sociaal Nederland;942;;
Nederland;L528;Partij;Partij van de Eenheid;804;;
Nederland;L528;Partij;Wij zijn Nederland;553;;
Nederland;L528;Partij;Partij voor de Republiek;255;;
Nederland;L528;Partij;Modern Nederland;245;;
Nederland;L528;Partij;De Groenen;119;;
