Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Voorne aan Zee;G1992;;Inwonersbelang Voorne;6659;11;
Voorne aan Zee;G1992;;VVD;3779;6;
Voorne aan Zee;G1992;;GROENLINKS / Partij van de Arbeid (P.v.d.A.);2519;4;
Voorne aan Zee;G1992;;CDA;1768;3;
Voorne aan Zee;G1992;;Partij Voorne aan Zee;1717;3;
Voorne aan Zee;G1992;;Belang van Nederland (BVNL);1692;2;
Voorne aan Zee;G1992;;ONS Brielle;1625;2;
Voorne aan Zee;G1992;;D66;1470;2;
Voorne aan Zee;G1992;;Forum voor Democratie;1003;1;
Voorne aan Zee;G1992;;Vrij Voorne;950;1;
