Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;6258005;;
Nederland;L528;AantalOngeldigeStemmen;;161441;;
Nederland;L528;Kiesgerechtigden;;6746362;;
Nederland;L528;Opkomst;;6419446;;
Nederland;L528;Partij;KVP;1995348;50;
Nederland;L528;Partij;PvdA;1753025;43;
Nederland;L528;Partij;VVD;643820;16;
Nederland;L528;Partij;ARP;545718;13;
Nederland;L528;Partij;CHU;536782;13;
Nederland;L528;Partij;PSP;189370;4;
Nederland;L528;Partij;CPN;173322;4;
Nederland;L528;Partij;SGP;143549;3;
Nederland;L528;Partij;Boeren Partij;133210;3;
Nederland;L528;Partij;GPV;46324;1;
Nederland;L528;Partij;Partij Economisch Appel;37554;;
Nederland;L528;Partij;Liberale Staatspartij;22353;;
Nederland;L528;Partij;Liberale Unie "Veilig Verkeer";21048;;
Nederland;L528;Partij;Nieuw-Democratische Partij;13064;;
Nederland;L528;Partij;CNVP;1823;;
Nederland;L528;Partij;Lijst Grol;876;;
Nederland;L528;Partij;Volksreferendum;819;;
