Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;5335456;;
Nederland;L528;AantalOngeldigeStemmen;;0;;
Nederland;L528;Kiesgerechtigden;;5781140;;
Nederland;L528;Opkomst;;5335456;;
Nederland;L528;Partij;PvdA;1545844;30;
Nederland;L528;Partij;KVP;1529434;30;
Nederland;L528;Partij;ARP;603170;12;
Nederland;L528;Partij;CHU;476188;9;
Nederland;L528;Partij;VVD;471038;9;
Nederland;L528;Partij;CPN;328612;6;
Nederland;L528;Partij;Katholieke Nationale Partij;144519;2;
Nederland;L528;Partij;SGP;129073;2;
Nederland;L528;Partij;GPV;35494;;
Nederland;L528;Partij;Middenstands Partij;25127;;
Nederland;L528;Partij;Partij voor Recht, Vrijheid en Welvaart;18989;;
Nederland;L528;Partij;Socialistische Unie;18010;;
Nederland;L528;Partij;Jong Conservatief Verbond;9959;;
