Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;6879500;;
Nederland;L528;AantalOngeldigeStemmen;;198298;;
Nederland;L528;Kiesgerechtigden;;7450680;;
Nederland;L528;Opkomst;;7077798;;
Nederland;L528;Partij;KVP;1822939;42;
Nederland;L528;Partij;PvdA;1620447;37;
Nederland;L528;Partij;VVD;738229;17;
Nederland;L528;Partij;ARP;681203;15;
Nederland;L528;Partij;CHU;560467;12;
Nederland;L528;Partij;Boeren Partij;328186;7;
Nederland;L528;Partij;D66;307859;7;
Nederland;L528;Partij;CPN;248330;5;
Nederland;L528;Partij;PSP;197217;4;
Nederland;L528;Partij;SGP;138119;3;
Nederland;L528;Partij;GPV;59218;1;
Nederland;L528;Partij;Noodraad;45485;;
Nederland;L528;Partij;Christen-Democratische Unie;45346;;
Nederland;L528;Partij;Partij voor Ongehuwden;43340;;
Nederland;L528;Partij;Landsbelangen;17596;;
Nederland;L528;Partij;Liberale Volkspartij;11292;;
Nederland;L528;Partij;Lijst Voogd;4808;;
Nederland;L528;Partij;Lijst van Breukelen-Grein;3560;;
Nederland;L528;Partij;Lijst-Machiela;1676;;
Nederland;L528;Partij;Lijst-Germeaux;1218;;
Nederland;L528;Partij;Partij van het Recht;1070;;
Nederland;L528;Partij;CNVP;992;;
Nederland;L528;Partij;Lijst-Rodemond;916;;
